Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/133/302/16-17,Construction of Kighombo YP twin workshop,2016-2017,n/a,0,"Education, Libraries and VTCs",,3636793,Construction of Kighombo YP twin workshop
006/133/303/16-17,Construction of Mselia YP twin workshop,2016-2017,n/a,0,"Education, Libraries and VTCs",,1100000,Construction of Mselia YP twin workshop
006/133/304/16-17,Marumbenyi ECD,2016-2017,n/a,0,"Education, Libraries and VTCs",,400000,Marumbenyi ECD
006/133/305/16-17,Mwakinyungu ECD,2016-2017,n/a,0,"Education, Libraries and VTCs",,200000,Mwakinyungu ECD
006/133/306/16-17,Ronge primary ECD,2016-2017,n/a,0,"Education, Libraries and VTCs",,200000,Ronge primary ECD
006/133/307/16-17,Ndile ronge juu ECD,2016-2017,n/a,0,"Education, Libraries and VTCs",,500000,Ndile ronge juu ECD
006/133/308/16-17,Construction of Mwakaleri ECD,2016-2017,n/a,0,"Education, Libraries and VTCs",,1193564,Construction of Mwakaleri ECD
006/133/309/16-17,Construction of Rahai ECD,2016-2017,n/a,0,"Education, Libraries and VTCs",,1193564,Construction of Rahai ECD
006/133/31/24-25,Grading and Murraming of Zare kongoronyi road,2024-2025,n/a,0,"Education, Libraries and VTCs",,0,Grading and Murraming of Zare kongoronyi road
006/133/310/16-17,Construction of Baghau ECD,2016-2017,n/a,0,"Education, Libraries and VTCs",,1499062.2,Construction of Baghau ECD
006/133/311/16-17,Construction of Nganjinyi ECD,2016-2017,n/a,0,"Education, Libraries and VTCs",,1233295,Construction of Nganjinyi ECD
006/133/312/16-17,Construction of Shelemba merternity block,2016-2017,n/a,0,Health Services,,1000000,Construction of Shelemba merternity block
006/133/313/16-17,Shelemba mvita and kighononyi sreet light,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,200000,Shelemba mvita and kighononyi sreet light
006/133/314/16-17,Construction of Mwangea ECD,2016-2017,n/a,0,"Education, Libraries and VTCs",,1500000,Construction of Mwangea ECD
006/133/315/16-17,Construction of Marumbenyi ECDE,2016-2017,n/a,0,"Education, Libraries and VTCs",,700000,Construction of Marumbenyi ECDE
006/133/316/16-17,Kilambi Road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,100000,Kilambi Road
006/133/317/16-17,Kilulunyi Vichwala road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,100000,Kilulunyi Vichwala road
006/133/318/16-17,Josa Chongonyi Road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,100000,Josa Chongonyi Road
006/133/319/16-17,Bura-Mararo road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,100000,Bura-Mararo road
006/133/32/24-25,grading and murraming of mngama-kwakele-chungaunga,2024-2025,n/a,0,"Youth, Sports, Gender and Social Services",,0,grading and murraming of mngama-kwakele-chungaunga
006/133/320/16-17,Murray Josa road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1200000,Murray Josa road
006/133/321/16-17,Mwangoji Kisaghala road,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1200000,Mwangoji Kisaghala road
006/133/322/15-16,Crush construction at Mwatate Ward (pending Bill),2015-2016,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Crush construction at Mwatate Ward (pending Bill)
006/133/323/15-16,Mwasinenyi water project,2015-2016,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,Mwasinenyi water project
006/133/325/15-16,Josa - Modambogho Water supply,2015-2016,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,Josa - Modambogho Water supply
006/133/326/15-16, Kipusi bore hole-Extension supply to Mwatate town,2015-2016,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0, Kipusi bore hole-Extension supply to Mwatate town
006/133/327/15-16,Mwatate Ecde Classroom,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Mwatate Ecde Classroom
006/133/328/15-16,Kipusi Ecde Classroom,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Kipusi Ecde Classroom
006/133/329/15-16,Mlambenyi youth polytechnic twin  classes,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Mlambenyi youth polytechnic twin  classes
006/133/33/24-25,"Culvert, slabbing and murraming of zare-mkuyuniroad and kongorini maribongonyi road",2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,"Culvert, slabbing and murraming of zare-mkuyuniroad and kongorini maribongonyi road"
006/133/330/15-16,Modambogho dispensary laboratory,2015-2016,n/a,0,Health Services,,0,Modambogho dispensary laboratory
006/133/331/15-16,Sports league,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,0,Sports league
006/133/332/15-16,Driving course,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,0,Driving course
006/133/333/15-16,Security streetlights : Landi maili kumi,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Security streetlights : Landi maili kumi
006/133/334/15-16,Security streetlights : Junction - singila,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Security streetlights : Junction - singila
006/133/335/15-16,Security streetlights : Junction - Kenyatta high school,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Security streetlights : Junction - Kenyatta high school
006/133/336/15-16,Security streetlights : Baisanda - singila,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Security streetlights : Baisanda - singila
006/133/337/15-16,Mwatunge kizina Footpath,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1400000,Mwatunge kizina Footpath
006/133/338/15-16,msisinenyi makombenyi,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1000000,msisinenyi makombenyi
006/133/339/15-16,constraction of mwatate sub county head quarters office,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,constraction of mwatate sub county head quarters office
006/133/34/24-25,"PURCHASE,PIPE FITTING BASE SETTING OF 9 10,000 LTRS PLASTIC WATER TANK",2024-2025,JAMALULEYL GENERAL CONTRACTOR AND SUPPLIES LIMITED,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1971386.8,"PURCHASE,PIPE FITTING BASE SETTING OF 9 10,000 LTRS PLASTIC WATER TANK"
006/133/340/15-16,Mwatate Secondary hostle,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Mwatate Secondary hostle
006/133/341/15-16,Mwatunge kizina footbridges 3no,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,698664,Mwatunge kizina footbridges 3no
006/133/342/15-16,fighinyi mwatunge kizina,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,940662,fighinyi mwatunge kizina
006/133/343/15-16,Bodaboda shades - mwatate The office,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,0,Bodaboda shades - mwatate The office
006/133/344/15-16,Bodaboda shades - mwatate Maryland,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,0,Bodaboda shades - mwatate Maryland
006/133/345/15-16,Bodaboda shades - mwatate Landimaili kumi,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,0,Bodaboda shades - mwatate Landimaili kumi
006/133/346/15-16,Bodaboda shades - mwatate Junction,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,0,Bodaboda shades - mwatate Junction
006/133/347/15-16,Bodaboda shades - mwatate Baisanda,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,0,Bodaboda shades - mwatate Baisanda
006/133/348/15-16,Public toilet Landi maili kumi,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Public toilet Landi maili kumi
006/133/349/15-16,Mwatate 1 no boda boda shed,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,0,Mwatate 1 no boda boda shed
006/133/35/24-25,SUPPLY AND DELIVERY OF EMPOWERNMENT ITEMS FOR CHAWIA WARD,2024-2025,REN DIGITAL VENTURES,0,"Youth, Sports, Gender and Social Services",,1955000,SUPPLY AND DELIVERY OF EMPOWERNMENT ITEMS FOR CHAWIA WARD
006/133/350/15-16,Construction of Mwakitau Health Centre,2015-2016,n/a,0,Health Services,,0,CONSTRUCTION OF MWAKITAU HEALTH CENTER
006/133/351/15-16,Erection of Streetlights at Bura Market,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,6000000,ERECTION OF STREETLIGHTS AT BURA MARKET
006/133/352/15-16,Construction of Barawa ECDE,2015-2016,n/a,0,"Education, Libraries and VTCs",,1156957,CONSTRUCTION OF BARAWA ECDE
006/133/353/15-16,Kirongwe Road Rehabillitation,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Kirongwe Road Rehabillitation
006/133/354/15-16,bridge (lerirongwe) - lerinyi footbridge,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,bridge (lerirongwe) - lerinyi footbridge
006/133/355/15-16,mwatate mwanganga mruru culvert,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,mwatate mwanganga mruru culvert
006/133/356/15-16,mkuyuni wumari mwamkolo road culvert,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,mkuyuni wumari mwamkolo road culvert
006/133/357/15-16,manganga irarenyi road,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,manganga irarenyi road
006/133/358/15-16,mwatate manganga mruru rd,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/133/359/15-16,mwatate manganga mruru rd,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,mwatate manganga mruru rd
006/133/36/24-25,PROPOSED CONSTRUCTION OF KITIVO SOCIAL HALL PHASE II,2024-2025,n/a,0,"Youth, Sports, Gender and Social Services",,999990,PROPOSED CONSTRUCTION OF KITIVO SOCIAL HALL PHASE II
006/133/360/15-16,Public Toilet At Kamtonga Trading Centre,2015-2016,n/a,0,Health Services,,0,Public Toilet At Kamtonga Trading Centre
006/133/361/15-16,Construction Of ChungaUnga ECDE,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Construction Of ChungaUnga ECDE
006/133/362/15-16,Construction of Alia ECD (CHAWIA WARD WDF),2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Construction of Alia ECD (CHAWIA WARD WDF)
006/133/363/15-16,Construction of Manowa ECD (Chawia Ward WDF),2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Construction of Manowa ECD (Chawia Ward WDF)
006/133/364/15-16,Shelemba ECDE,2015-2016,n/a,0,"Education, Libraries and VTCs",,1118409,Shelemba ECDE
006/133/365/15-16,Construction of Ndembonyi ECD,2015-2016,n/a,0,"Education, Libraries and VTCs",,1698489,Construction of Ndembonyi ECD
006/133/366/15-16,Construction of Mariwenyi ECD,2015-2016,n/a,0,"Education, Libraries and VTCs",,1188409,Construction of Mariwenyi ECD
006/133/367/15-16,Construction of Kironge ECD,2015-2016,n/a,0,"Education, Libraries and VTCs",,878888,Construction of Kironge ECD
006/133/368/15-16,Construction of ECD Mengo,2015-2016,n/a,0,"Education, Libraries and VTCs",,950554,Construction of ECD Mengo
006/133/369/15-16,Construction of ECD Mambura,2015-2016,n/a,0,"Education, Libraries and VTCs",,987220,Construction of ECD Mambura
006/133/37/24-25,Completion of Manoa Dispensary Laboratory block,2024-2025,n/a,0,"Trade, Tourism, Culture and Industrialization",,0,Completion of Manoa Dispensary Laboratory block
006/133/370/15-16,Construction of Mrabenyi ECD,2015-2016,n/a,0,"Education, Libraries and VTCs",,750000,Construction of Mrabenyi ECD
006/133/371/15-16,Saghaighu Playing field,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,500000,
006/133/372/15-16,Rehabilitation Of Playing Field Vichwala,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,500000,Rehabilitation Of Playing Field Vichwala
006/133/373/15-16,Rehabilitation of Playing Fields Mrashinyi t/c - To be issued to Kidaya/Saghaighu,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",,500000,Rehabilitation of Playing Fields Mrashinyi t/c - To be issued to Kidaya/Saghaighu
006/133/374/14-15,Constrction of crush pens -Mwatate (Rebudgeted),2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Constrction of crush pens -Mwatate (Rebudgeted)
006/133/375/14-15,Mwatate-Mwasinenyi Water Supply(MWATATE WARD)-WDF,2014-2015,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,Mwatate-Mwasinenyi Water Supply(MWATATE WARD)-WDF
006/133/376/14-15,Kipusi bore hole-Extension supply to Mwatate town(MWATATE WARD)-WDF,2014-2015,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,Kipusi bore hole-Extension supply to Mwatate town(MWATATE WARD)-WDF
006/133/377/14-15,Construction ofECD-Mgeno(MWATATE WARD)-WDF,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction ofECD-Mgeno(MWATATE WARD)-WDF
006/133/378/14-15,Construction of ECD-Mwatate(MWATATE WARD)-WDF,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction of ECD-Mwatate(MWATATE WARD)-WDF
006/133/379/14-15,Construction ofECD-Kipusi(MWATATE WARD)-WDF,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction ofECD-Kipusi(MWATATE WARD)-WDF
006/133/38/24-25,Renovation of manoa Dispensary,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Renovation of manoa Dispensary
006/133/380/14-15,ECD-Mazola(Furnishing)(MWATATE WARD)-WDF,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,ECD-Mazola(Furnishing)(MWATATE WARD)-WDF
006/133/381/14-15,Construction of ECD-Maili  Kumi(MWATATE WARD)-WDF,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction of ECD-Maili  Kumi(MWATATE WARD)-WDF
006/133/382/14-15,Construction of maternity wing& lab( modambogho dispensary)(MWATATE WARD)-WDF,2014-2015,n/a,0,Health Services,,0,Construction of maternity wing& lab( modambogho dispensary)(MWATATE WARD)-WDF
006/133/383/14-15, completion  of Maternity-Mwatate SDH),2014-2015,n/a,0,Health Services,,0, completion  of Maternity-Mwatate SDH)
006/133/384/14-15,"Purchase of Physiotherapy equipment-SWD(Wesu,Mwatateand Taveta)",2014-2015,n/a,0,Health Services,,0,"Purchase of Physiotherapy equipment-SWD(Wesu,Mwatateand Taveta)"
006/133/385/14-15,"Purchase of Generators ( Wesu SCH, and Mwatate SCH)",2014-2015,n/a,0,Health Services,,0,"Purchase of Generators ( Wesu SCH, and Mwatate SCH)"
006/133/386/14-15,Fencing of Mwatate Youth Empowerment Centre 1 ha,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",,0,Fencing of Mwatate Youth Empowerment Centre 1 ha
006/133/387/14-15,Purchase of computers and accessories for Mwatate YEC,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",,0,Purchase of computers and accessories for Mwatate YEC
006/133/388/14-15,Purchase of Indoor games equipment for Mwatate YEC,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",,0,Purchase of Indoor games equipment for Mwatate YEC
006/133/39/24-25,Construction of  Mwakinyungu toilet and tank,2024-2025,LERNAX AGENCIES ,0,"Education, Libraries and VTCs",,0,Construction of  Mwakinyungu toilet and tank
006/133/390/14-15,Mwatate 1 no,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Mwatate 1 no
006/133/391/14-15,Mwatate sub county infrastructural improvement (Rebudgeted),2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Mwatate sub county infrastructural improvement (Rebudgeted)
006/133/392/14-15,"construction of eco lavatories and washrooms at Voi,Mwatate,Maungu,Wundanyi,Taveta& Mtito Andei)",2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,"construction of eco lavatories and washrooms at Voi,Mwatate,Maungu,Wundanyi,Taveta& Mtito Andei)"
006/133/393/14-15,Mwatunge-Kizina (MWATATE WARD)-WDF,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,700000,Mwatunge-Kizina (MWATATE WARD)-WDF
006/133/394/14-15,Mwatunge-Kizina foot path(MWATATE WARD)-WDF,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1000000,Mwatunge-Kizina foot path(MWATATE WARD)-WDF
006/133/395/14-15,Singila-Madungunyi-Shaghala road(MWATATE WARD)-WDF,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1000000,Singila-Madungunyi-Shaghala road(MWATATE WARD)-WDF
006/133/396/14-15,Construction of Mwatate bus park,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,800000,Construction of Mwatate bus park
006/133/397/14-15,Feasibility and rehabilitation for Mwatate stadium,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",,600000,Feasibility and rehabilitation for Mwatate stadium
006/133/398/14-15,Construction of Kongoni ECDE,2014-2015,n/a,0,"Education, Libraries and VTCs",,1400000,CONSTRUCTION OF KONGONI ECDE
006/133/399/14-15,Construction of Bura Public Toilet ,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1500000,CONSTRUCTION OF BURA PUBLIC TOILET 
006/133/40/24-25,Refurbishment of Mwambirwa health centre,2024-2025,CROSSLAND CONSTRUCTION LIMITED,0,Health Services,,996216.61,Refurbishment of Mwambirwa health centre
006/133/400/14-15,"Construction ofLangteni Social hall 2 toilets,1000 chairs and modification",2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",,4516007,"Construction ofLangteni Social hall 2 toilets,1000 chairs and modification"
006/133/401/14-15,Rehabilitation of Playing Fields Mrashinyi t/c,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",,500000,Rehabilitation of Playing Fields Mrashinyi t/c
006/133/402/14-15,Rehabilitation of Playing Fields Josa t/c,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",,500000,Rehabilitation of Playing Fields Josa t/c
006/133/403/13-14,Construction of Bura Public Toilet ,2013-2014,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,200000,Construction of Bura Public Toilet 
006/133/404/13-14,Fire water point -Mwatate,2013-2014,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Fire water point -Mwatate
006/133/41/24-25,construction of bridge kwa tole mwanyalo road murraming,2024-2025,Centgold Enterprises Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1999975,Construction Of Bridge Kwa Tole Mwanyalo Road Murraming
006/133/42/24-25,Constuction of kidimo bridge phase 2,2024-2025,Kedu Solutions,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2977919.52,Construction Of Kidimo Bridge Phase 2
006/133/43/24-25,Grading of Kishamba Chongonyi Road,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,290000,Grading Of Kishamba Chongonyi Road
006/133/44/24-25,grading of dembwa kikoro road,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,3000000,Grading Of Dembwa Kikoro Road
006/133/45/24-25,Grading of Mwangoji Mwambingu kibaoni road ,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1000000,Grading Of Mwangoji Mwambingu Kibaoni Road 
006/133/46/24-25,Construction Of Nguwa Water Tank,2024-2025,Artic Works Limited,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,6000000,Construction Of Nguwa Water Tank
006/133/47/24-25,Equipping Of Ecdes with Indoor Equipment,2024-2025,Katemony International Ltd,0,"Education, Libraries and VTCs",,2494999.92,Equipping Of Ecdes with Indoor Equipment
006/133/48/24-25,Pipping Of Mombasa Shop Mwakuni Water Project,2024-2025,Tifant Ventures Limited,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1999984,Pipping Of Mombasa Shop Mwakuni Water Project
006/133/49/24-25,Construction Of Nguwa Kighala-Kirughunyi Water Project,2024-2025,Yoani Ventures Limited,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1847500,Construction Of Nguwa Kighala-Kirughunyi Water Project
006/133/50/23-24, PIPING OF JOSA MDAMBOGHO WATER PROJECT ,2023-2024,WAMTECH CIVIL ENGINEERING COMPANY LTD,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1992500, PIPING OF JOSA MDAMBOGHO WATER PROJECT 
006/133/51/23-24, SUPPLY OF TANKS ,2023-2024,LANCE DESIGNS LIMITED,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,998610, SUPPLY OF TANKS 
006/133/52/23-24,CONSTRUCTION OF ECD MWANDISHA PRIMARY SCHOOL,2023-2024,STRNTIUM TECHNOLOGIES LIMITED,0,"Education, Libraries and VTCs",,1499508,CONSTRUCTION OF ECD MWANDISHA PRIMARY SCHOOL
006/133/53/23-24,MWATUNGE FIGHINYI VIA KIZIMA ROAD GABION,2023-2024,STRNTIUM TECHNOLOGIES LIMITED,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,999700,MWATUNGE FIGHINYI VIA KIZIMA ROAD GABION
006/133/54/23-24,CONSTRUCTION OF MAJENGO-SINGILA ROAD AND,2023-2024,DARMSTAD SYSTEMS LIMITED,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,999700,CONSTRUCTION OF MAJENGO-SINGILA ROAD AND
006/133/55/23-24,"YOUTH, WOMEN & PWDS EMPOWERMENT",2023-2024,JIENGA INVESTMENTS LTD P.O BOX 92415-80100 MOMBASA,0,"Youth, Sports, Gender and Social Services",,1998600,"YOUTH, WOMEN & PWDS EMPOWERMENT"
006/133/56/23-24,COMPLETION OF MLAMBENYI SOCIAL HALL ,2023-2024,FAXTECH COMPANY LIMITED P O BOX 495 -90300 MAKUENI,0,"Youth, Sports, Gender and Social Services",,0,COMPLETION OF MLAMBENYI SOCIAL HALL 
006/133/57/23-24,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET ,2023-2024,n/a,0,"Youth, Sports, Gender and Social Services",,999479.2,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET 
006/133/58/23-24,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET,2023-2024,n/a,0,"Youth, Sports, Gender and Social Services",,99279,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET
006/133/59/23-24,Construction of landi maili kumi primary mdindinyi,2023-2024,n/a,0,,,2000000,Construction of landi maili kumi primary mdindinyi
006/133/60/23-24,Construction of Bura Staff House,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2000000,Construction of Bura Staff House
006/133/61/23-24,CONSTRUCTION OF KWA MNEGWA ECDE,2023-2024,n/a,0,"Education, Libraries and VTCs",,1227000,CONSTRUCTION OF KWA MNEGWA ECDE
006/133/62/23-24,SLABBING OF MWAKUZAMA ROAD,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,3000000,"Excavation, grading and slabbing"
006/133/63/23-24,FORMATION OF MWAKIDASI ROAD,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,3000000,"Formation,grading and roller"
006/133/64/23-24,"PURCHASE, PIPE FITTING, BASEMENT AND SETTING OF 9 10000LITRES PLASTIC WATER TANKS ",2023-2024,BREGZA ENTERPRISES,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,1400000,"PURCHASE, PIPE FITTING, BASEMENT AND SETTING OF 9 10000LITRES PLASTIC WATER TANKS "
006/133/65/23-24, REHABILITATION OF ZARE WATER DISTRIBUTION LINE ,2023-2024,MAKA INDUSTIRES LIMITED,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,999915, REHABILITATION OF ZARE WATER DISTRIBUTION LINE 
006/133/66/23-24,CHAWIA ROADS,2023-2024,HANZ PETROLEUM,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,CHAWIA ROADS
006/133/67/23-24, YOUTH WOMEN AND PLWD EMPOWERMENT ,2023-2024,ROPEMA GENERAL ENTERPRISES LTD PO. BOX 97634-80112 MOMBASA,0,"Youth, Sports, Gender and Social Services",,1663900, YOUTH WOMEN AND PLWD EMPOWERMENT 
006/133/68/23-24,CHAWIA TOURNAMENT,2023-2024,YANKEM IMAGES,0,"Youth, Sports, Gender and Social Services",,508500,CHAWIA TOURNAMENT
006/133/69/23-24,COMPLETION OF KITIVO SOCIAL HALL,2023-2024,MAFAZARA ENTERPRISES P.O BOX 86612-80100 MOMBASA,0,"Youth, Sports, Gender and Social Services",,2992553,COMPLETION OF KITIVO SOCIAL HALL
006/133/70/23-24,Completetion of Manoa Dispensary ,2023-2024,n/a,0,Health Services,,0,Completetion of Manoa Dispensary 
006/133/71/23-24,Construction of  Mwakinyungu toilet and tank,2023-2024,n/a,0,"Education, Libraries and VTCs",,996216.61,Construction of  Mwakinyungu toilet and tank
006/133/72/23-24,Refurbishment of Mwambirwa health centre,2023-2024,n/a,0,Health Services,,1999975,Refurbishment of Mwambirwa health centre
006/133/73/23-24,construction of Kilulunyi shongolonyi catholic vichwala ,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1778923.8,construction of Kilulunyi shongolonyi catholic vichwala 
006/133/74/23-24,Construction of Kidimo Bridge,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2998072,Construction of Kidimo Bridge
006/133/75/23-24,construction of Mlangonyi kishamba masungunyi mwachawaza road,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,5000000,construction of Mlangonyi kishamba masungunyi mwachawaza road
006/133/76/23-24,Construction Of Kidaya/Ngerenyi Water Tank in Fururu,2023-2024,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,4583063,Construction Of Kidaya/Ngerenyi Water Tank in Fururu
006/133/77/23-24,Fuel For Grading Playgrounds and Roads,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,300000,Fuel For Grading Playgrounds and Roads
006/133/78/22-23,Maintenance of Josa Modambogo water-project,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Maintenance of Josa Modambogo water-project
006/133/79/22-23,Drilling of Mdindinyi  - Kireti borehole,2022-2023,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,0,Drilling of Mdindinyi  - Kireti borehole
006/133/80/22-23,Development of  Wards VTCs,2022-2023,n/a,0,"Education, Libraries and VTCs",,0,Development of  Wards VTCs
006/133/81/22-23,Maintenance of Mwatate roads ,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Maintenance of Mwatate roads 
006/133/82/22-23,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET ,2022-2023,CORFA COMPANY LIMITED,0,"Youth, Sports, Gender and Social Services",,999479.2,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET 
