Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/132/145/18-19,Nakuruto Ecde,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Ecde
006/132/146/18-19,Renovation Works Of Mahandakini Dispensary,2018-2019,"Borbada Enterprises, P.O Box 12444-80117 Mtopanga",0,Health Services,,2497500,Construction
006/132/147/18-19,Mahoo Ecde Kitchen,2018-2019,Makena General  Stores,0,"Education, Libraries and VTCs",,1258588.4,Construction Of Kitchen
006/132/148/18-19,Kirimeri Nursery Perimeter Fence,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,Ecde 
006/132/149/18-19,Supply Of Fertilizer,2018-2019,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Supply Of Fertilizer
006/132/15/24-25,Murraming Of Kiwalwa-Mtisoni-Riata Ndogo Road,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murraming Of Kiwalwa-Mtisoni-Riata Ndogo Road
006/132/150/18-19,Fencing Of Orkung'U Pre-School,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,Fencing Construction 
006/132/151/18-19,Construction Of 1 Classroom Kasaani Pre-School,2018-2019,Tahary Enterprises,0,"Education, Libraries and VTCs",,1354584.2,Completion Of Kasaani Ecde Phase 2
006/132/152/18-19,Construction Of Kasaani Ecde  Classroom 2,2018-2019,Tahary Enterprises,0,"Education, Libraries and VTCs",,0,Completion Of Kasaani Ecde Phase 2
006/132/153/18-19,Kachero Ecd 2 Classrooms,2018-2019,Tahary Enterprises,0,"Education, Libraries and VTCs",,2610882.6,Construction Of Kachero Ecde 2 Classrooms Phase 2
006/132/154/18-19,Grogan Ecd 2 Classrooms,2018-2019,Kiwalwa Kwetu Ltd,0,"Education, Libraries and VTCs",,1764049.12,Completion Of Gregan Ecde Classroom Phase 2
006/132/156/18-19,Construction Of 1 Classroom - Orkung Pre School,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Classroom 
006/132/157/18-19,Construction Of Mata Youth Polytechnic,2018-2019,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Mata Vtc
006/132/158/18-19,Construction Of Kachero Dispensary,2018-2019,n/a,0,Health Services,,0,Construction Of The Dispensary 
006/132/159/18-19,Fencing Of Mata Dispensary,2018-2019,n/a,0,Health Services,,0,Fencing Of Mata Dispensary 
006/132/16/24-25,Murraming Of Gasheni-Riata Kubwa Road,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murraming Of Gasheni-Riata Kubwa Road
006/132/160/18-19,Equipping Of Ndilidau Dispensary,2018-2019,n/a,0,Health Services,,0,Supply Of Equipment At Ndilidau Dispensary 
006/132/161/18-19,Formation Of King'Wareni - Kimondia - Rekeke Road,2018-2019,Market View Investments,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,New Road Formation 
006/132/162/18-19,Culverts Installation At King'Wareni - Kimondia - Rekeke Road,2018-2019,Market View Investments,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2103834,Culverts Installation 
006/132/163/18-19,"Murraming, Culvert & Drainage Culvert Mkuyuni - King'Wareni Road",2018-2019,Spartacus K Ltd,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1997520,Culverts Installation 
006/132/164/17-18,Phase 2 Fencing Of Chala Dispensary ,2017-2018,n/a,0,Health Services,,994945,Construction Of Disp Fence
006/132/165/17-18,Chala Disp. Staff House Renovation,2017-2018,n/a,0,Health Services,,0,Renovation Of Disp Staff House 
006/132/166/17-18,Chala Ecde,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Class
006/132/167/17-18,Njukini Bodaboda Shed,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Bodaboda Shed
006/132/168/17-18,Kindongu Box Culvert,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Culvert
006/132/169/17-18,Chala Disp. Fence ,2017-2018,n/a,0,Health Services,,0,Construction Of Disp Fence
006/132/17/24-25,Murraming Of Ngutini-Maseketeni Road,2024-2025,Bonwal Construction And Holding Company Limited ,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2843450,Murraming Of Ngutini-Maseketeni Road
006/132/170/17-18,Chala Vtc Fence,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Fencing Vtc
006/132/171/17-18,Mahandakini Disp. Twin Staff Hse,2017-2018,n/a,0,Health Services,,0,Construction Of Disp Twin Staff Hse
006/132/172/17-18,Chumvini Mkt Shed,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Mkt Shed
006/132/173/17-18,Machungwani Kwa Hassan Rd,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Gravelling 
006/132/174/17-18,Lumi Dispensary,2017-2018,n/a,0,Health Services,,0,Construction Of Dispensary
006/132/175/17-18,Njukini Shed  &Toilet,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Shed Toilet
006/132/176/17-18,Rehabilitation Of Remus-Maroro Road,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/177/17-18,Rehabilitation Harambee/Chakaleri Timbila Rd,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/178/17-18,Kirimeri Nursery Perimeter Fence,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Ecde 
006/132/179/17-18,Msengoni Road Opening,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Road Formation
006/132/18/24-25,Murraming Of Ukambani-Majengo Road,2024-2025,Scheme Construction And Technology Designers Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1997608.16,Murraming Of Ukambani-Majengo Road
006/132/180/17-18,Malkulority Ecde ,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Class
006/132/181/17-18,Youth Road California,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murruming Of The Road
006/132/182/17-18,Maintenance Of Langata-Bypass Road,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murruming Of The Road
006/132/183/17-18,Miereni Community Social Hall,2017-2018,n/a,0,"Youth, Sports, Gender and Social Services",,0,Construction Of Social Hall
006/132/184/17-18,Malkloriti B Ecde And 3 Door Toilet,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Ecde
006/132/185/17-18,Kirimeri Nursery Perimeter Fence,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Ecde 
006/132/186/17-18,Fishing Washing Shade,2017-2018,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Construction Of Fishing Washing Shade
006/132/187/17-18,Kasahani Nursery,2017-2018,n/a,0,"Education, Libraries and VTCs",,1513995.2,Construction Kasahani Nursery
006/132/188/17-18,"Supply And Intallation Of 10,000Ltrs Water Tank At Orkung Ecde",2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Supply Of Water Storage Tank 
006/132/189/17-18,Fencing Of Orkung'U Pre-School,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Fencing Construction 
006/132/19/24-25,Murraming Of Ukambani-Mlimani-Madarasani Road,2024-2025,Ericia Investment Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,3399900,Murraming Of Ukambani-Mlimani-Madarasani Road
006/132/190/17-18,Construction Of 2 Classrooms Kasaani Pre-School,2017-2018,n/a,0,"Education, Libraries and VTCs",,1192155,Construction Of 2 Classrooms Kasaani
006/132/191/17-18,Construction Of A Kitchen - Orkung'U Pre-School,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Construction Of A Kitchen 
006/132/192/17-18,Construction Of Kachero Ecde,2017-2018,n/a,0,"Education, Libraries and VTCs",,1195414.8,Construction Of Kachero Ecde
006/132/193/17-18,Construction Of Grogan Ecde,2017-2018,n/a,0,"Education, Libraries and VTCs",,1069348,Construction Of Classroom 
006/132/194/17-18,Mata Pre School Construction Of 1 Classroom,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Mata Pre School
006/132/196/17-18,Fencing Of Mata Dispensary,2017-2018,n/a,0,Health Services,,499380,Fencing Of Mata Dispensary
006/132/197/17-18,Equiping Of Ndilindau Dispensary,2017-2018,n/a,0,Health Services,,0,Supply Of Equipment At Ndilidau Dispensary 
006/132/199/17-18,"Construction Of Bridges, Drifts & Culverts Installation ",2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,"Construction Of Bridges,Drifts &Culverts Installation"
006/132/20/24-25,Murraming Of Marabani-Kambugu Road,2024-2025,Zavon Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1998630,Murraming Of Marabani-Kambugu Road
006/132/200/17-18,Kimondia Road Upgrading,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Road Formation 
006/132/201/17-18,Maintenance Of Mukuyuni-Kimwareni-Kimondia Road,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading Of Mkuyuni Rekeke Road
006/132/202/17-18,Jipe Road Bridges,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Fixing Of Culverts
006/132/203/17-18,Culverts Installation-Mata-Njoro-Mtaa Kuja- Rmlf,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0, Culvert Installation At Mata-Njoro- Mtakuja Road 
006/132/204/17-18,Mata Roads Maintainance- Rmlf,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Mata Roads Maintainance- Rmlf
006/132/205/17-18,Bodaboda Shed At Cess ,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of The Bodaboda Shed 
006/132/206/17-18,Jipe Boat Harbour,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Jipe Boat Harbour
006/132/207/17-18,Fertilizer For Farmers - Mboghoni,2017-2018,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Fertilizer For Farmers - Mboghoni
006/132/208/17-18,Equipping Mboghonyi Ward Ecdee Centres,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Equipping Mboghonyi Ward Ecdee Centres
006/132/209/17-18,Equipping Of Kambughu Youth Polytechnic,2017-2018,n/a,0,"Education, Libraries and VTCs",,0,Equipping Of Kambughu Youth Polytechnic
006/132/21/24-25,Fuel For Excavator For Roads And Canal Maintenance,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Fuel For Excavator For Roads And Canal Maintenance
006/132/210/17-18,Murraming Of Python Hill Village Road With 2 Lines 900 Mm Culverts,2017-2018,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murraming Of Python Hill Village Road With 2 Lines 900 Mm Culverts
