Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/133/371/15-16,Saghaighu Playing field,Complete,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,500000,100,,Admin 3,,Wusi/Kishamba,-3.422954,38.318834,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/372/15-16,Rehabilitation Of Playing Field Vichwala,Complete,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,500000,100,Rehabilitation Of Playing Field Vichwala,Admin 3,,Wusi/Kishamba,-3.488494,38.322007,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/373/15-16,Rehabilitation of Playing Fields Mrashinyi t/c - To be issued to Kidaya/Saghaighu,Complete,2015-2016,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,500000,100,Rehabilitation of Playing Fields Mrashinyi t/c - To be issued to Kidaya/Saghaighu,Admin 3,,Wusi/Kishamba,-3.422954,38.318834,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/374/14-15,Constrction of crush pens -Mwatate (Rebudgeted),Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Constrction of crush pens -Mwatate (Rebudgeted),Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/375/14-15,Mwatate-Mwasinenyi Water Supply(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,0,100,Mwatate-Mwasinenyi Water Supply(MWATATE WARD)-WDF,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/376/14-15,Kipusi bore hole-Extension supply to Mwatate town(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,0,100,Kipusi bore hole-Extension supply to Mwatate town(MWATATE WARD)-WDF,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/377/14-15,Construction ofECD-Mgeno(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction ofECD-Mgeno(MWATATE WARD)-WDF,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/378/14-15,Construction of ECD-Mwatate(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction of ECD-Mwatate(MWATATE WARD)-WDF,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/379/14-15,Construction ofECD-Kipusi(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction ofECD-Kipusi(MWATATE WARD)-WDF,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/38/24-25,Renovation of manoa Dispensary,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Renovation of manoa Dispensary,Admin 3,,Chawia,-3.59487,38.332648,County Government,100,,,Admin 3,Chawia
006/133/380/14-15,ECD-Mazola(Furnishing)(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,ECD-Mazola(Furnishing)(MWATATE WARD)-WDF,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/381/14-15,Construction of ECD-Maili  Kumi(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction of ECD-Maili  Kumi(MWATATE WARD)-WDF,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/382/14-15,Construction of maternity wing& lab( modambogho dispensary)(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Construction of maternity wing& lab( modambogho dispensary)(MWATATE WARD)-WDF,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/383/14-15, completion  of Maternity-Mwatate SDH),Complete,2014-2015,n/a,0,Health Services,County Government,,,,,0,,0,0,100, completion  of Maternity-Mwatate SDH),Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/384/14-15,"Purchase of Physiotherapy equipment-SWD(Wesu,Mwatateand Taveta)",Complete,2014-2015,n/a,0,Health Services,County Government,,,,,0,,0,0,100,"Purchase of Physiotherapy equipment-SWD(Wesu,Mwatateand Taveta)",Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/385/14-15,"Purchase of Generators ( Wesu SCH, and Mwatate SCH)",Complete,2014-2015,n/a,0,Health Services,County Government,,,,,0,,0,0,100,"Purchase of Generators ( Wesu SCH, and Mwatate SCH)",Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/386/14-15,Fencing of Mwatate Youth Empowerment Centre 1 ha,Complete,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Fencing of Mwatate Youth Empowerment Centre 1 ha,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/387/14-15,Purchase of computers and accessories for Mwatate YEC,Complete,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Purchase of computers and accessories for Mwatate YEC,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/388/14-15,Purchase of Indoor games equipment for Mwatate YEC,Complete,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,Purchase of Indoor games equipment for Mwatate YEC,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/39/24-25,Construction of  Mwakinyungu toilet and tank,Complete,2024-2025,LERNAX AGENCIES ,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction of  Mwakinyungu toilet and tank,Admin 3,,Ronge,-3.4265580,38.423365,County Government,100,,,Admin 3,Ronge
006/133/390/14-15,Mwatate 1 no,Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Mwatate 1 no,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/391/14-15,Mwatate sub county infrastructural improvement (Rebudgeted),Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Mwatate sub county infrastructural improvement (Rebudgeted),Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/392/14-15,"construction of eco lavatories and washrooms at Voi,Mwatate,Maungu,Wundanyi,Taveta& Mtito Andei)",Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,"construction of eco lavatories and washrooms at Voi,Mwatate,Maungu,Wundanyi,Taveta& Mtito Andei)",Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/393/14-15,Mwatunge-Kizina (MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,700000,100,Mwatunge-Kizina (MWATATE WARD)-WDF,Admin 3,,Mwatate,-3.479993,38.3383240,County Government,100,,,Admin 3,Mwatate
006/133/394/14-15,Mwatunge-Kizina foot path(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1000000,100,Mwatunge-Kizina foot path(MWATATE WARD)-WDF,Admin 3,,Mwatate,-3.496887,38.395152,County Government,100,,,Admin 3,Mwatate
006/133/395/14-15,Singila-Madungunyi-Shaghala road(MWATATE WARD)-WDF,Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1000000,100,Singila-Madungunyi-Shaghala road(MWATATE WARD)-WDF,Admin 3,,Mwatate,-3.494887,38.395152,County Government,100,,,Admin 3,Mwatate
006/133/396/14-15,Construction of Mwatate bus park,Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,800000,100,Construction of Mwatate bus park,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/397/14-15,Feasibility and rehabilitation for Mwatate stadium,Complete,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,600000,100,Feasibility and rehabilitation for Mwatate stadium,Admin 3,,Mwatate,-3.498292,38.399156,County Government,100,,,Admin 3,Mwatate
006/133/398/14-15,Construction of Kongoni ECDE,Complete,2014-2015,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1400000,100,CONSTRUCTION OF KONGONI ECDE,Admin 3,,Bura,-3.500593,38.317395,County Government,100,,,Admin 3,Bura
006/133/399/14-15,Construction of Bura Public Toilet ,Complete,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1500000,100,CONSTRUCTION OF BURA PUBLIC TOILET ,Admin 3,,Bura,-3.500593,38.317396,County Government,100,,,Admin 3,Bura
006/133/40/24-25,Refurbishment of Mwambirwa health centre,Complete,2024-2025,CROSSLAND CONSTRUCTION LIMITED,0,Health Services,County Government,,,,,0,,0,996216.61,100,Refurbishment of Mwambirwa health centre,Admin 3,,Ronge,-3.5288,38.421821,County Government,100,,,Admin 3,Ronge
006/133/400/14-15,"Construction ofLangteni Social hall 2 toilets,1000 chairs and modification",Complete,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,4516007,100,"Construction ofLangteni Social hall 2 toilets,1000 chairs and modification",Admin 3,,Ronge,-3.426578,38.423365,County Government,100,,,Admin 3,Ronge
006/133/401/14-15,Rehabilitation of Playing Fields Mrashinyi t/c,Complete,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,500000,100,Rehabilitation of Playing Fields Mrashinyi t/c,Admin 3,,Wusi/Kishamba,-3.449555,38.364193,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/402/14-15,Rehabilitation of Playing Fields Josa t/c,Complete,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,500000,100,Rehabilitation of Playing Fields Josa t/c,Admin 3,,Wusi/Kishamba,-3.455343,38.370401,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/403/13-14,Construction of Bura Public Toilet ,Complete,2013-2014,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,200000,100,Construction of Bura Public Toilet ,Admin 3,,Bura,-3.500593,38.317394,County Government,100,,,Admin 3,Bura
006/133/404/13-14,Fire water point -Mwatate,Complete,2013-2014,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Fire water point -Mwatate,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/41/24-25,construction of bridge kwa tole mwanyalo road murraming,Complete,2024-2025,Centgold Enterprises Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1999975,100,Construction Of Bridge Kwa Tole Mwanyalo Road Murraming,Admin 3,,Wusi/Kishamba,-3.422784,38.34341,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/42/24-25,Constuction of kidimo bridge phase 2,Complete,2024-2025,Kedu Solutions,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2977919.52,100,Construction Of Kidimo Bridge Phase 2,Admin 3,,Wusi/Kishamba,-3.448939,38.363296,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/43/24-25,Grading of Kishamba Chongonyi Road,Stalled,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,290000,100,Grading Of Kishamba Chongonyi Road,Admin 3,,Wusi/Kishamba,-3.430071,38.360199,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/44/24-25,grading of dembwa kikoro road,Stalled,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,3000000,100,Grading Of Dembwa Kikoro Road,Admin 3,,Wusi/Kishamba,-3.448939,38.363296,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/45/24-25,Grading of Mwangoji Mwambingu kibaoni road ,Stalled,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1000000,100,Grading Of Mwangoji Mwambingu Kibaoni Road ,Admin 3,,Wusi/Kishamba,-3.43525,38.341435,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/46/24-25,Construction Of Nguwa Water Tank,Stalled,2024-2025,Artic Works Limited,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,6000000,100,Construction Of Nguwa Water Tank,Admin 3,,Wusi/Kishamba,0,0,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/47/24-25,Equipping Of Ecdes with Indoor Equipment,Complete,2024-2025,Katemony International Ltd,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,2494999.92,100,Equipping Of Ecdes with Indoor Equipment,Admin 3,,Wusi/Kishamba,0,0,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/48/24-25,Pipping Of Mombasa Shop Mwakuni Water Project,Ongoing,2024-2025,Tifant Ventures Limited,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1999984,100,Pipping Of Mombasa Shop Mwakuni Water Project,Admin 3,,Wusi/Kishamba,0,0,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/49/24-25,Construction Of Nguwa Kighala-Kirughunyi Water Project,Ongoing,2024-2025,Yoani Ventures Limited,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1847500,100,Construction Of Nguwa Kighala-Kirughunyi Water Project,Admin 3,,Wusi/Kishamba,0,0,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/50/23-24, PIPING OF JOSA MDAMBOGHO WATER PROJECT ,Complete,2023-2024,WAMTECH CIVIL ENGINEERING COMPANY LTD,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1992500,100, PIPING OF JOSA MDAMBOGHO WATER PROJECT ,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/51/23-24, SUPPLY OF TANKS ,Complete,2023-2024,LANCE DESIGNS LIMITED,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,998610,100, SUPPLY OF TANKS ,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/52/23-24,CONSTRUCTION OF ECD MWANDISHA PRIMARY SCHOOL,Complete,2023-2024,STRNTIUM TECHNOLOGIES LIMITED,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1499508,100,CONSTRUCTION OF ECD MWANDISHA PRIMARY SCHOOL,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/53/23-24,MWATUNGE FIGHINYI VIA KIZIMA ROAD GABION,Ongoing,2023-2024,STRNTIUM TECHNOLOGIES LIMITED,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,999700,100,MWATUNGE FIGHINYI VIA KIZIMA ROAD GABION,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/54/23-24,CONSTRUCTION OF MAJENGO-SINGILA ROAD AND,Complete,2023-2024,DARMSTAD SYSTEMS LIMITED,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,999700,100,CONSTRUCTION OF MAJENGO-SINGILA ROAD AND,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/55/23-24,"YOUTH, WOMEN & PWDS EMPOWERMENT",Complete,2023-2024,JIENGA INVESTMENTS LTD P.O BOX 92415-80100 MOMBASA,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1998600,100,"YOUTH, WOMEN & PWDS EMPOWERMENT",Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/56/23-24,COMPLETION OF MLAMBENYI SOCIAL HALL ,Complete,2023-2024,FAXTECH COMPANY LIMITED P O BOX 495 -90300 MAKUENI,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,COMPLETION OF MLAMBENYI SOCIAL HALL ,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/57/23-24,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET ,Stalled,2023-2024,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,999479.2,100,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET ,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/58/23-24,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET,Stalled,2023-2024,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,99279,100,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/59/23-24,Construction of landi maili kumi primary mdindinyi,Complete,2023-2024,n/a,0,,County Government,,,,,0,,0,2000000,100,Construction of landi maili kumi primary mdindinyi,Admin 3,,Mwatate,-3.428739,38.446754,County Government,100,,,Admin 3,Mwatate
006/133/60/23-24,Construction of Bura Staff House,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2000000,100,Construction of Bura Staff House,Admin 3,,Bura,-3.500622,38.317067,County Government,100,,,Admin 3,Bura
006/133/61/23-24,CONSTRUCTION OF KWA MNEGWA ECDE,Complete,2023-2024,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,1227000,100,CONSTRUCTION OF KWA MNEGWA ECDE,Admin 3,,Bura,-3.500593,38.317408,County Government,100,,,Admin 3,Bura
006/133/62/23-24,SLABBING OF MWAKUZAMA ROAD,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,3000000,100,"Excavation, grading and slabbing",Admin 3,,Bura,-3.500593,38.317415,County Government,100,,,Admin 3,Bura
006/133/63/23-24,FORMATION OF MWAKIDASI ROAD,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,3000000,100,"Formation,grading and roller",Admin 3,,Bura,-3.478583,38.319701,County Government,100,,,Admin 3,Bura
006/133/64/23-24,"PURCHASE, PIPE FITTING, BASEMENT AND SETTING OF 9 10000LITRES PLASTIC WATER TANKS ",Complete,2023-2024,BREGZA ENTERPRISES,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,1400000,100,"PURCHASE, PIPE FITTING, BASEMENT AND SETTING OF 9 10000LITRES PLASTIC WATER TANKS ",Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/65/23-24, REHABILITATION OF ZARE WATER DISTRIBUTION LINE ,Complete,2023-2024,MAKA INDUSTIRES LIMITED,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,999915,100, REHABILITATION OF ZARE WATER DISTRIBUTION LINE ,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/66/23-24,CHAWIA ROADS,Complete,2023-2024,HANZ PETROLEUM,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,CHAWIA ROADS,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/67/23-24, YOUTH WOMEN AND PLWD EMPOWERMENT ,Complete,2023-2024,ROPEMA GENERAL ENTERPRISES LTD PO. BOX 97634-80112 MOMBASA,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1663900,100, YOUTH WOMEN AND PLWD EMPOWERMENT ,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/68/23-24,CHAWIA TOURNAMENT,Complete,2023-2024,YANKEM IMAGES,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,508500,100,CHAWIA TOURNAMENT,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/69/23-24,COMPLETION OF KITIVO SOCIAL HALL,Ongoing,2023-2024,MAFAZARA ENTERPRISES P.O BOX 86612-80100 MOMBASA,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,2992553,100,COMPLETION OF KITIVO SOCIAL HALL,Admin 3,,Chawia,0,0,County Government,100,,,Admin 3,Chawia
006/133/70/23-24,Completetion of Manoa Dispensary ,Complete,2023-2024,n/a,0,Health Services,County Government,,,,,0,,0,0,100,Completetion of Manoa Dispensary ,Admin 3,,Chawia,-3.59487,38.332648,County Government,100,,,Admin 3,Chawia
006/133/71/23-24,Construction of  Mwakinyungu toilet and tank,Complete,2023-2024,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,996216.61,100,Construction of  Mwakinyungu toilet and tank,Admin 3,,Ronge,-3.4265580,38.423365,County Government,100,,,Admin 3,Ronge
006/133/72/23-24,Refurbishment of Mwambirwa health centre,Complete,2023-2024,n/a,0,Health Services,County Government,,,,,0,,0,1999975,100,Refurbishment of Mwambirwa health centre,Admin 3,,Ronge,-3.5288,38.421821,County Government,100,,,Admin 3,Ronge
006/133/73/23-24,construction of Kilulunyi shongolonyi catholic vichwala ,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1778923.8,100,construction of Kilulunyi shongolonyi catholic vichwala ,Admin 3,,Wusi/Kishamba,-3.463261,38.342093,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/74/23-24,Construction of Kidimo Bridge,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2998072,100,Construction of Kidimo Bridge,Admin 3,,Wusi/Kishamba,-3.448939,38.363296,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/75/23-24,construction of Mlangonyi kishamba masungunyi mwachawaza road,Stalled,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,5000000,100,construction of Mlangonyi kishamba masungunyi mwachawaza road,Admin 3,,Wusi/Kishamba,-3.455343,38.370401,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/76/23-24,Construction Of Kidaya/Ngerenyi Water Tank in Fururu,Complete,2023-2024,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,4583063,100,Construction Of Kidaya/Ngerenyi Water Tank in Fururu,Admin 3,,Wusi/Kishamba,0,0,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/77/23-24,Fuel For Grading Playgrounds and Roads,Complete,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,300000,100,Fuel For Grading Playgrounds and Roads,Admin 3,,Wusi/Kishamba,0,0,County Government,100,,,Admin 3,Wusi/Kishamba
006/133/78/22-23,Maintenance of Josa Modambogo water-project,Complete,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Maintenance of Josa Modambogo water-project,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/79/22-23,Drilling of Mdindinyi  - Kireti borehole,Complete,2022-2023,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",County Government,,,,,0,,0,0,100,Drilling of Mdindinyi  - Kireti borehole,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/80/22-23,Development of  Wards VTCs,Complete,2022-2023,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Development of  Wards VTCs,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/81/22-23,Maintenance of Mwatate roads ,Complete,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,0,100,Maintenance of Mwatate roads ,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/82/22-23,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET ,Complete,2022-2023,CORFA COMPANY LIMITED,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,999479.2,100,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET ,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/83/22-23,"supply and delivery of 100 seater tents, plastic chairs  which includes;100 SEATER TENTS ,PLASTIC CHAIRS 
",Complete,2022-2023,JIENGA INVESTMENTS LTD P.O BOX 92415-80102 ,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1998000,100,"supply and delivery of 100 seater tents, plastic chairs  which includes;100 SEATER TENTS ,PLASTIC CHAIRS 
",Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/84/22-23,PROPOSED COMPLETION OF MLAMBENYI SOCIAL HALL,Complete,2022-2023,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,0,100,PROPOSED COMPLETION OF MLAMBENYI SOCIAL HALL,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/85/22-23,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET,Complete,2022-2023,FAXTECH COMPANY LTD,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,99279,100,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/86/22-23,MAINTANANCE OF MWATATE ROADS,Complete,2022-2023,BLUE AVENUE VENTURES,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2000000,100,MAINTANANCE OF MWATATE ROADS,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/87/22-23,DRIVING SCHOOL FOR 66 STUDENTS,Complete,2022-2023,TRUNK DRIVING SCHOOL,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1635000,100,DRIVING SCHOOL FOR 66 STUDENTS,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/88/22-23,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET ,Stalled,2022-2023,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,999479.2,100,CONSTRUCTION OF PELELEZA SOCIAL HALL 4-DOOR TOILET ,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
006/133/89/22-23,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET,Stalled,2022-2023,n/a,0,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,99279,100,PROPOSED CONSTRUCTION OF KIPUSI SOCAIL HALL 4 DOOR TOILET,Admin 3,,Mwatate,0,0,County Government,100,,,Admin 3,Mwatate
