Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/130/14/24-25,Fuel For Routine Maintanance Of Kaloleni Roads,Complete,2024-2025,Tsavo Autopoint,1500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,1500000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/140/20-21,Kaloleni Feeder Road/Murram,Complete,2020-2021,Hatuna Chuki," 1,610,080.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0," 1,610,080.00 ",100,Murraming Of The Feeder Road,Admin 3,,Kaloleni,-3.3973,38.5648,County Government,100,,,Admin 3,Kaloleni
006/130/141/20-21,Tanzania Ecde Toilet&Fence,Complete,2020-2021,MBILO LTD,900000,"Education, Libraries and VTCs",County Government,,,,,0,,0,900000,100,Construction Of  Tanzania Ecde Toilet And Fence,Admin 3,,Kaloleni,-3.3995,38.5606,County Government,100,,,Admin 3,Kaloleni
006/130/142/20-21,Bondeni Social Hall+Toilet,Complete,2020-2021,Mwagho Co Limited," 744,677.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 744,677.00 ",100,Construction Of Modern Hall And 4 Door Toilet,Admin 3,,Kaloleni,-3.3969,38.5609,County Government,100,,,Admin 3,Kaloleni
006/130/143/20-21,Bondeni Social Fence,Complete,2020-2021,MWAGHO COMPANY LTD," 3,396,031.50 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 3,396,031.50 ",100,Construction Of Chain Ling,Admin 3,,Kaloleni,-3.3965,38.56168,County Government,100,,,Admin 3,Kaloleni
006/130/144/20-21,Mwanyambo Ecde,Complete,2020-2021,n/a,0,"Education, Libraries and VTCs",County Government,,,,,0,,0,0,100,Construction Of Modern Classes,Admin 3,,Kaloleni,-3.3931,38.5886,County Government,100,,,Admin 3,Kaloleni
006/130/145/20-21,Sofia Bona Fencing &Toilet,Complete,2020-2021,MBILO LIMITED," 270,540.00 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 270,540.00 ",100,Planting Of Chain Ling And Constrution Of 2 Door Toilet,Admin 3,,Kaloleni,-3.3871,385778,County Government,100,,,Admin 3,Kaloleni
006/130/146/20-21,Kwa Mzungu Box Culvert,Complete,2020-2021,n/a,2500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2500000,100,Construction Of Box Culvert,Admin 3,,Kaloleni,-3.3965,38.5821,County Government,100,,,Admin 3,Kaloleni
006/130/147/20-21,Birikani Social Hall,Stalled,2020-2021,GUYANA ENTERPRISES LTD," 2,194,265.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 2,194,265.00 ",100,Construction Of Modern Hall ,Admin 3,,Kaloleni,-3.3962,38.5948,County Government,100,,,Admin 3,Kaloleni
006/130/148/20-21,Kaloleni Basket Ball Court,Complete,2020-2021,MEHER ENGINEERING LTD," 1,492,953.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 1,492,953.00 ",100,Construction Of Court ,Admin 3,,Kaloleni,-3.3962,38.5948,County Government,100,,,Admin 3,Kaloleni
006/130/149/20-21,Kaloleni Social Hall Fence&Toilet,Complete,2020-2021,HATUNA CHUKI BREAKDOWN," 510,000.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 510,000.00 ",100,Planting Of Chain Ling And Gate & 4 Door Toilet,Admin 3,,Kaloleni,-3.3979,38.5784,County Government,100,,,Admin 3,Kaloleni
006/130/15/24-25,Voi Modern Market Roof Extension,Complete,2024-2025,n/a,500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,500000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/150/20-21,Kaloleni Studio Equipments,Complete,2020-2021,GRACIOUS TENTS & SOUNDS," 3,628,000.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 3,628,000.00 ",100,Equiping Of  Studio Facilites ,Admin 3,,Kaloleni,-3.3979,38.57841,County Government,100,,,Admin 3,Kaloleni
006/130/151/20-21,Mnaoni Ecde Toilet,Complete,2020-2021,KIDAYA GENERAL CONTRACTORS," 624,760 ","Education, Libraries and VTCs",County Government,,,,,0,,0," 624,760 ",100,Construction Of 2 Door Toilet,Admin 3,,Kaloleni,-3.42,38.5571,County Government,100,,,Admin 3,Kaloleni
006/130/153/20-21,Culverting And Rehabilitation Of Kaloleni Ward Roads,Complete,2020-2021,n/a,2500000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",County Government,,,,,0,,0,2500000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/154/20-21,Grants To Support Women And Youth And Pwd'S,Complete,2020-2021,n/a,2500000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,2500000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/155/20-21,Purchase Of Complete Studio Equipment,Complete,2020-2021,n/a,1300000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,1300000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/156/20-21,"Support For Teams (Ndovu Fc, Eastern Rovers Fc)",Complete,2020-2021,n/a,500000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,500000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/157/20-21,Construction Of Basketball Court At Kaloleni,Complete,2020-2021,MEHER ENGINEERING LTD," 1,492,953.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 1,492,953.00 ",100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/158/20-21,Improvement Of Gimba Playing Field,Complete,2020-2021,n/a,400000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,400000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/159/20-21,Construction Of New Kaloleni Stadium,Complete,2020-2021,n/a,2000000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,2000000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/16/24-25,Youth Empowerment,Complete,2024-2025,n/a,10072000,"Youth, Sports, Gender and Social Services",County Government,,,,,0,,0,10072000,100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
006/130/160/20-21,Purchase Of Sports Equipment,Complete,2020-2021,Azizhalik Investment," 353,500.00 ","Youth, Sports, Gender and Social Services",County Government,,,,,0,,0," 353,500.00 ",100,,Admin 3,,Kaloleni,0,0,County Government,100,,,Admin 3,Kaloleni
